Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0003409,Project Avada,Andrey Tolok,ai_ivanov,normal,minor,always,,General,2025-07-01,,,,public,2025-07-01,"Редирект на несуществующую страницу из-за битой ссылки на иконке C++ в блоке ""Технології які ми використовуємо""",assigned,open,
0003387,Project Avada,Andrey Tolok,ai_ivanov,normal,minor,always,,General,2025-07-01,,,,public,2025-07-01,Видео не отображается корректно из-за сбоя рендеринга в Chromium браузере на странице проекта Carveli в разделе Портфоліо,assigned,open,
0003408,Project Avada,Andrey Tolok,ai_ivanov,high,minor,always,,General,2025-07-01,,,,public,2025-07-01,"[avada-media] Меняется язык сайта при переходе по иконке из-за сбоя локализации в категории ""Компанія"" > ""Технології які...",assigned,open,
0003335,Project Avada,Andrey Tolok,ai_ivanov,low,minor,always,,General,2025-06-29,,,,public,2025-07-01,avada-media.ua Контент карточек портфолио не переведён из-за отсутствующей локализации при переключении сайта на английский язык,assigned,open,
0003407,Project Avada,Andrey Tolok,ai_ivanov,low,trivial,always,,General,2025-07-01,,,,public,2025-07-01,Появляется неактивная иконка с числом 110 из-за дефекта отображения в мобильной версии в выпадающем меню категорий в хедере,assigned,open,
0003402,Project Avada,Andrey Tolok,ai_ivanov,normal,minor,always,,General,2025-07-01,,,,public,2025-07-01,Видео не воспроизводится в Chromium-браузерах из-за сбоя инициализации плеера на странице проекта Carveli в разделе Портфоліо,assigned,open,
0003380,Project Avada,Andrey Tolok,ai_ivanov,normal,trivial,have not tried,,General,2025-07-01,,,,public,2025-07-01,Неверный редирект при переходе по ссылке App Store из-за сбоя маршрутизации в карточке проекта BAZAR.club в разделе Портфолио,assigned,open,
0003376,Project Avada,Andrey Tolok,ai_ivanov,high,major,always,,General,2025-06-30,,,,public,2025-06-30,Медленная загрузка из-за неоптимизированных ресурсов на главной странице при открытии сайта с мобильных устройств,assigned,open,
0003351,Project Avada,Andrey Tolok,ai_ivanov,normal,minor,always,,General,2025-06-29,,,,public,2025-06-29,Форма отправки резюме принимает заведомо нерелевантный контент из-за отсутствия проверки структуры и содержания загружаемых файл,assigned,open,
0002786,Project Avada,Andrey Tolok,marussyq,low,trivial,always,,General,2025-03-03,,,,public,2025-03-03,[ferrero.com],assigned,open,
0002785,Project Avada,Andrey Tolok,marussyq,low,trivial,always,,General,2025-03-03,,,,public,2025-03-03,[ferrero.com],assigned,open,
0002784,Project Avada,Andrey Tolok,marussyq,low,trivial,always,,General,2025-03-03,,,,public,2025-03-03,[ferrero.com],assigned,open,
0002783,Project Avada,Andrey Tolok,marussyq,low,trivial,have not tried,,General,2025-03-03,,,,public,2025-03-03,[ferrero.com],assigned,open,
0002782,Project Avada,Andrey Tolok,marussyq,low,trivial,always,,General,2025-03-03,,,,public,2025-03-03,[ferrero.com],assigned,open,
0002612,Project Avada,Andrey Tolok,Andrey Tolok,normal,major,always,,General,2025-02-26,,,,public,2025-02-28,[https://www.ferrero.com/balt/ee/][https://raffaello.ee/kampaania],feedback,open,
0002489,Project Avada,Andrey Tolok,Andrey Tolok,low,minor,always,,General,2025-02-22,,,,public,2025-02-28,[https://www.kinder.com/tr/tr/xp/Natoons/],feedback,open,
0002614,Project Avada,Andrey Tolok,marussyq,low,minor,always,,General,2025-02-26,,,,public,2025-02-28,[https://www.tictac.com/ee/et/],confirmed,open,
0002615,Project Avada,Andrey Tolok,marussyq,low,trivial,always,,General,2025-02-26,,,,public,2025-02-28,[https://www.ferrero.com/balt/lv/],confirmed,open,
0002613,Project Avada,Andrey Tolok,marussyq,low,minor,always,,General,2025-02-26,,,,public,2025-02-28,[https://raffaello.ee/kampaania],confirmed,open,
0002463,Project Avada,Andrey Tolok,ai_ivanov,low,minor,always,,General,2025-02-22,,,,public,2025-02-22,В строке поиска товаров в хедере появилась лишняя иконка микрофона,assigned,open,
0002450,Project Avada,Andrey Tolok,,low,trivial,always,,General,2025-02-22,,,,public,2025-02-22,"Иконка из вкладки ""Каталог"" исчезли в хедере страницы",new,open,
