#,Tracker,Status,Priority,Subject,Assignee,Updated
25595,??????,?????,??????????,"??????? ?? ??????????? ??-?? ?????????? ????????? ????????? ?????? ? ??????? ""????? ?? ???????"" ?? ??????",??????  ?????,07/16/2025 11:48 AM
25594,??????,?????,???????,"????? ?? ???????????? ??-?? ?????????? ?????????? ?????????? Google Maps ? ????? ""?????? ?????????"" ?? ???????? ""????????"" ?? ??????",??????  ?????,07/16/2025 11:36 AM
25593,??????,?????,??????????,"??????? ?? ??????????? ??-?? ?????????? ???????? ??? ????? URL ? ????? ""??????? ????"" ?? ??????",??????  ?????,07/16/2025 11:27 AM
25592,??????,?????,??????,"????? ?? ??????????????? ??-?? ??????????? ??????????? ? ????? ""?????????? ???? ????????????????"" ?? ???????? ""??? ? ??????????? ????"" ????? ?????? ?????? ""?????"" ? ??????",??????  ?????,07/16/2025 11:21 AM
25591,??????,?????,??????????,"??????????? ???? ? ???????? ?????? ""??? Boker Applegate-Fairbairn Combat II» ? ??????? ""?????""",Svitlana Kovalova,07/09/2025 09:49 PM
25590,??????,?????,??????????,"???????????????? ""??????????"" ?? ????????? ""?? ?????????"" ???????? ???????????",Svitlana Kovalova,07/09/2025 09:41 PM
25589,??????,?????,??????????,"??????????? ??????????? ????? ""????? ????????????"" ?? ?????? ""????????? ????????????? Retay 2022 Sporter Green ???. 22 LR 51 ??"" ? ??????? ""?????""",Svitlana Kovalova,07/09/2025 08:55 PM
25588,??????,?????,??????????,"???????????????? ""??????????"" ?? ????????? ""???????"" ? ??????? ""???????????"" ???????? ???????????",Svitlana Kovalova,07/09/2025 08:00 PM
25587,??????,?????,??????,"???????? ?????? ""????? Wutschka ??? ??????"" ?? ????????????? ????????? UA ???????????",Svitlana Kovalova,07/09/2025 08:03 PM
25586,??????,?????,??????????,"????? ""?????? Wutschka Safari ??? ?????"" ???????????? ? ???????? ????????? ???????",Svitlana Kovalova,07/09/2025 06:51 PM
25585,??????,?????,??????,"???? ???????? ????????? ??????? ? ??????? ""????????"", ?? ????????????? ????????? RU ???????????",Svitlana Kovalova,07/09/2025 08:03 PM
25584,??????,?????,??????,"???? ?????? ""??????????? ??????: ??????? ???? Kanetsune"" ? ????????? ????? ?? ????????????? ????????? RU ???????????",Svitlana Kovalova,07/09/2025 05:49 PM
25583,??????,?????,??????????,"?????? ??????????? ??? ???????? ""????????????????? ??????????"" ? ?????? ????? ? ??????? ???????????",Svitlana Kovalova,07/09/2025 05:24 PM
25582,??????,?????,???????,"??????????? ???? ? ???????? ?????? ""???? ????????? Blaser R8 Ultimate Silence Dark Brown"" ? ??????? ""?????""",Svitlana Kovalova,07/09/2025 08:37 PM
25581,??????,?????,???????,"???????? ?????????? ?????? «????? ????? ???? 12.7 ?? ""?????""»",???????? ???????,07/08/2025 02:43 PM
25580,??????,?????,??????????,????? ?????????????? ??????????? ????? ??? ??????? ?????????? ??????????? ?? ???????? ???????? ?????,???????? ???????,07/08/2025 02:33 PM
25579,??????,?????,??????????,???? ?????? ?? ?????????? ???? ??????? ???????????? (UA)  ? ??????? «?? ?????? ??????? ????????» ,???????? ???????,07/07/2025 09:51 PM
25578,??????,?????,??????????,"???? ??????  (UA) ""OPINEL"" ?? ???????"" ?? ?????????? ??????? ??????????? (RU)",???????? ???????,07/07/2025 09:44 PM
25577,??????,?????,???????,"[Rare] H? ?????????????? ??????? ???????? (?????, ?????)  ?? ???????? ???????? ????? ????? ???????. ? Chrome DevTools ?????????????? ??????? 401",???????? ???????,07/07/2025 09:29 PM
25576,??????,?????,???????,"???????? ?????????? ?????? ???????? ?????????? ?. ?. ??? ""?????"" ? ?????????? ? ??????",???????? ???????,07/07/2025 09:22 PM
25575,??????,?????,??????????,???????? ???? ?? ???????? «?? ?????? ??????? ????????» ? ??????? «??????? ?? ?????????» ?????????????? ???????? ??????? ???????????? ????,???????? ???????,07/07/2025 09:19 PM
25574,??????,?????,??????????,???????? ???? ?? ???????? «?? ?????? ????????? ????????» ? ??????? «??????? ?? ?????????» ?????????????? ???????? ??????? ???????????? ????.,???????? ???????,07/07/2025 09:16 PM
25573,??????,?????,??????????,"?????????????? ?????????? ????? ?  ??????????? ???????????  ????? ?????? «????? ?????????????? ????????? ???-3 ""?????? ???"" (?????)»",???????? ???????,07/07/2025 09:12 PM
25572,??????,?????,??????????,?????????? ??????? ?? ?????????? ??????? «??? ??????? ?? ???????» ?????? ????? «??????????» ???? «???????»,???????? ???????,07/07/2025 09:03 PM
25571,??????,?????,??????,"?? ?????????????? ?????????? ? ????? ?? ?????? ? ??????? ""??????? ?? ?????????"" ",Iryna Vasyliv,07/07/2025 08:32 PM
25560,??????,?????,??????,"???????? ?????????? ???? ???? ?????? ? ???????  ""??????"" , ??????? ""????? ?? ???????"".",Iryna Vasyliv,07/08/2025 04:24 PM
25559,??????,?????,??????????,????? ???????? ??????? ?????????????? ??????????? ????? ? ?????????? ??????????? ????? ?? ???????? ???????? .,Iryna Vasyliv,07/08/2025 04:28 PM
25558,??????,?????,??????,"?????????? ?????? ????????? ??????????? ?  ??????? ""????????? ??????????.",Iryna Vasyliv,07/04/2025 01:48 PM
25557,??????,?????,??????????,?????????????? ????? ??????????? ????? ?? ????????????? ???????? ? ??????? «????????? ??????????» .,Iryna Vasyliv,07/04/2025 01:03 PM
25556,??????,?????,??????,"???????? ?????????? ??????, ? ???? ""???????? ???????????? Optima Sortie PCP 4,5 ??"" ? ??????? ""?????""",Iryna Vasyliv,07/07/2025 08:33 PM
25555,??????,?????,??????????," ??????????? ????????? ????? "" ????????????"" ? ??????????? ??????????? ????? ??? ????? ?????? ""??????? Browning Auto 5 ???. 12/70""  ",Iryna Vasyliv,07/08/2025 04:31 PM
25554,??????,?????,??????,"????????? ????????? ??????? ??? ?????????? ?????? ?? ????? ? ??????? ""?????""",Iryna Vasyliv,07/08/2025 04:32 PM
